Cancer,Cardiology
dysplasia,thrombophlebitis
occipital lobe neoplasm,acute inferoposterior infarction
jejunal cancer,Brugada syndrome 1
alveolar soft part sarcoma,ventricular tachycardia
anaplastic astrocytoma,dilated cardiomyopathy 3B
glomus tumor,vertebral artery occlusion
testicular cancer,Brugada syndrome 7
pilomatrixoma,Monckeberg arteriosclerosis
epithelioid sarcoma,long QT syndrome 14
medulloepithelioma,atrioventricular block
urinary bladder anterior wall cancer,Brugada syndrome 3
choroid cancer,acute anterolateral myocardial infarction
uterus carcinoma in situ,arrhythmogenic right ventricular dysplasia 13
postcricoid region cancer,stable angina
adrenal cortex cancer,capillary leak syndrome
atypical chronic myeloid leukemia,aortic disease
subserous uterine fibroid,intracranial thrombosis
acanthoma,tricuspid valve disease
embryonal carcinoma,dilated cardiomyopathy 1CC
prostatic intraepithelial neoplasia,endoleak
soft tissue neoplasm,arrhythmogenic right ventricular dysplasia 11
clear cell adenofibroma,myocardial degeneration
neuroectodermal tumor,arterial tortuosity syndrome
female breast nipple and areola cancer,pulmonary embolism and infarction
orbital cancer,collapse
female breast upper-outer quadrant cancer,pulmonary hypertension
pleomorphic lipoma,dilated cardiomyopathy 1U
female breast cancer,dilated cardiomyopathy 1BB
squamous cell neoplasm,premature atrial contraction
pericardial mesothelioma,Raynaud disease
